READ TERR 1 2
! batSNR5flux
0.201000053882599	0.2	-0.2	2.35771023808448e-05	3.57346912726092e-06	-3.57346912726092e-06
0.501000018119812	0.1	-0.1	3.69108365914122e-05	6.28042143124643e-06	-6.28042143124643e-06
0.70100004196167	0.1	-0.1	2.83818220839621e-05	6.07380832231238e-06	-6.07380832231238e-06
0.881000031232834	0.08	-0.08	2.60324462170984e-05	5.07564250386007e-06	-5.07564250386007e-06
1.46100004196167	0.5	-0.5	6.8177574342206e-06	8.422839686801e-07	-8.422839686801e-07
2.06100005626678	0.1	-0.1	8.20876626570776e-06	1.57939532063673e-06	-1.57939532063673e-06
2.44100003787449	0.28	-0.28	3.8080733127207e-06	7.22947274154962e-07	-7.22947274154962e-07
3.00100004877363	0.28	-0.28	3.54141382269159e-06	6.32032886335391e-07	-6.32032886335391e-07
3.56100003412792	0.28	-0.28	1.99309549881017e-06	4.24392948821132e-07	-4.24392948821132e-07
4.121000053542	0.28	-0.28	1.63073823370791e-06	2.90758107461345e-07	-2.90758107461345e-07
5.36100004037222	0.960000000000001	-0.960000000000001	8.21984665129596e-07	1.27165379306835e-07	-1.27165379306835e-07
6.64100003659725	0.32	-0.32	1.15587017493337e-06	2.08418985353579e-07	-2.08418985353579e-07
NO NO NO NO NO NO
! batSNR5gamma
0.201000053882599	0.2	-0.2	2.83906074831061	0.372538584707472	-0.28909383232192
0.501000018119812	0.1	-0.1	2.89366214202675	0.453559365771548	-0.352211835871922
0.70100004196167	0.1	-0.1	2.86385245767184	0.457860580661921	-0.355731189490298
0.881000031232834	0.08	-0.08	2.79475080772075	0.384060573854321	-0.299561505824057
1.46100004196167	0.5	-0.5	2.57208991826572	0.381365792085673	-0.307487778137827
2.06100005626678	0.1	-0.1	2.49172149229446	0.346887721417324	-0.273349093106751
2.44100003787449	0.28	-0.28	2.46531351686636	0.40419735925896	-0.307555321989744
3.00100004877363	0.28	-0.28	2.42032062358857	0.565694111779229	-0.425529250780554
3.56100003412792	0.28	-0.28	2.32171081529662	0.400425419538838	-0.304369527085502
4.121000053542	0.28	-0.28	2.22310100100711	0.460114482535681	-0.356052760271649
5.36100004037222	0.960000000000001	-0.960000000000001	2.17982662665124	0.498760856665002	-0.386138541209018
6.64100003659725	0.32	-0.32	2.16644523927877	0.472429893237779	-0.365134786287882
NO NO NO NO NO NO
! xrtwtslewflux
87.9801323766659	0.806783657658727	-0.716170363047382	1.48344760226129e-08	2.2325043072763e-09	-2.23630703805274e-09
89.7553671574009	0.949478883904604	-0.968451123076292	9.35691024683376e-09	1.40215262805922e-09	-1.40503961983631e-09
91.3726938101455	0.87109921735852	-0.667847768839977	9.49912671369993e-09	1.41646621284832e-09	-1.41702606190953e-09
93.8083736089346	1.93403049434446	-1.56458058143065	5.36507721642156e-09	6.19534794519895e-10	-6.19639959956435e-10
NO NO NO NO NO NO
! xrtwtslewgamma
87.9801323766659	0.806783657658727	-0.716170363047382	3.88026593935111	0.475305561386839	-0.37832440627979
89.7553671574009	0.949478883904604	-0.968451123076292	3.69192588495551	0.307243418741922	-0.244583477033596
91.3726938101455	0.87109921735852	-0.667847768839977	3.5235537657252	0.246712291425432	-0.195734025261286
93.8083736089346	1.93403049434446	-1.56458058143065	3.2755288634044	0.394951232392287	-0.31257920576513
NO NO NO NO NO NO
! xrtwtflux
104.692	1.585	-1.26	4.50138725649213e-09	6.71054065426212e-10	-6.71118853660651e-10
107.930	1.825	-1.653	3.16072409139833e-09	4.80188701288327e-10	-4.80225331748415e-10
111.308	1.468	-1.553	3.20996609605964e-09	4.78521494495212e-10	-4.78549783577256e-10
114.597	1.777	-1.821	2.42625339067291e-09	3.61688614246983e-10	-3.61705278376403e-10
118.284	1.583	-1.911	2.24117084450102e-09	3.34096791502223e-10	-3.34108195647983e-10
121.800	2.288	-1.932	1.65176883492176e-09	2.50937772337898e-10	-2.50944684909397e-10
125.973	1.421	-1.885	1.21994383811507e-09	2.29159612324602e-10	-2.29163276864671e-10
129.518	2.222	-2.125	1.27803421465594e-09	1.9415968115675e-10	-1.94164066546774e-10
133.777	1.868	-2.037	1.43121206154856e-09	2.13353922050742e-10	-2.1335884375473e-10
137.731	1.504	-2.087	1.05237998527057e-09	1.92138308693824e-10	-1.92141209712688e-10
141.372	2.082	-2.137	8.67976184495076e-10	1.6781516203734e-10	-1.67817511575309e-10
145.594	1.621	-2.14	1.2045818711615e-09	2.19926645170981e-10	-2.19929984254441e-10
149.344	1.604	-2.129	1.415909026022e-09	2.58509769565848e-10	-2.58513664263866e-10
152.672	1.707	-1.724	1.64907819949895e-09	2.96184690981142e-10	-2.96189399813127e-10
156.813	2.575	-2.434	8.48607363724202e-10	1.68940367813311e-10	-1.68942599063562e-10
161.117	1.852	-1.73	1.0492209013521e-09	1.91561571824552e-10	-1.91564456423064e-10
164.795	1.679	-1.826	9.81896866690474e-10	1.84443959989901e-10	-1.84446551635475e-10
168.353	2.282	-1.879	7.76355345032799e-10	1.59213441091926e-10	-1.59215357790488e-10
172.382	2.129	-1.748	9.03386257927444e-10	1.64935748457773e-10	-1.64938264729622e-10
176.644	2.013	-2.132	8.04393678731278e-10	1.55522012341645e-10	-1.55524318012598e-10
180.728	2.742	-2.071	7.07749045572483e-10	1.3683672106834e-10	-1.36838795961938e-10
186.249	2.001	-2.78	7.85772952699387e-10	1.43462428807711e-10	-1.43464965033678e-10
190.606	1.941	-2.356	9.1014888517824e-10	1.6617041717649e-10	-1.66173418514819e-10
